Difficulty,Type,Knowledge,Status,VTS-style Query / Command-style Query,Standard natural,Operational style,Golden Answer
medium,Normal,,Activate,"Vessel name like ALABAMA – speed, position?",Can you provide the current speed and location of a vessel whose name sounds like ALABAMA?,What is the current speed and location of vessel sounds like ALABAMA?,"SELECT
  sog,
  latitude,
  longitude 
FROM
  ship_ais 
WHERE
  NAME LIKE '%ALABAMA%' 
ORDER BY
  last_updated DESC 
  LIMIT 1;"
easy,Normal,,Activate,Tankers in Strait – list names.,Can you list the names of all tankers currently in the Strait?,List vessel name of tanker in the Strait.,"SELECT DISTINCT
  sa.NAME 
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sd.object_type = 'strait' 
  AND sa.type = 'TANKER';"
easy,Normal,,Activate,"Ships speed <0.5 – name, location, top 20 sorted by name.","Please show the names and locations of ships with speed less than 0.5 knots, ordered by name. Limit the result to 20 ships.","show name and location of ship whose speed is lower than 0.5 order by name, only show 20 units.","SELECT DISTINCT NAME
  ,
  latitude,
  longitude 
FROM
  ship_ais 
WHERE
  sog < 0.5 
ORDER BY
NAME 
  LIMIT 20;"
easy,Normal,,Activate,"KPSB 5 – speed, position?",Could you provide the speed and position of the vessel named KPSB 5?,What is the current speed and location of vessel KPSB 5.,"SELECT
  sog,
  latitude,
  longitude 
FROM
  ship_ais 
WHERE
  NAME = 'KPSB 5' 
ORDER BY
  last_updated DESC 
  LIMIT 1;"
easy,Normal,,Activate,Container in Strait – list names.,Could you show me name list of all the container ship currently located in the Strait?,Show me names of all the container in the Strait,"SELECT DISTINCT
  sa.NAME 
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sa.type = 'CONTAINER SHIP' 
  AND sd.object_type = 'strait';"
easy,Normal,,Activate,"Vessels draft >15m – show MMSI, draft,name","Are there any vessels with a draft greater than 15 meters? Please show the mmsi, name and draft of these ships.","Is there any vessel with draft greater than 15 meters. show the mmsi, name and draft of these ships.","SELECT mmsi, name, draft FROM ship_ais WHERE draft > 15;"
medium,knowledge+calculation,"1. Definition 1: A vessel having a draught of 15 meters or more shall be deemed to be a deep draught vessel, also written as DDV.",Activate,"Deep-draft vessels (>15m) in Strait – MMSI, name,draft","Could you provide the MMSI numbers, names, draft of all deep-draft vessels (with drafts exceeding 15 meters) currently located in the Strait?",List MMSI and name of VLCCs and deep-drought vessel (draft greater than 15 meters) in the Strait.,"SELECT DISTINCT
  sa.mmsi,
  sa.NAME,
  sa.draft
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sa.draft > 15 
  AND sd.object_type = 'strait';"
medium,Knowledge,"1. Definition 2: VLCC means the ship type is TANKER and the ship length is greater than or equal to 300 meters. VLCC field does not exist in the database, so the meaning of VLCC needs to be replaced with the above explanation.",Activate,"VLCCs in Strait – MMSI, name","Could you provide the MMSI numbers, names of all VLCCs currently located in the Strait?",List MMSI and name of VLCCs in the Strait.,"SELECT distinct 
  sa.mmsi,
  sa.NAME 
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sa.type = 'TANKER' 
  AND sa.length >= 300 
  AND sd.object_type = 'strait' "
medium,calculation,,Activate,"Tanker (LOA >300m) – list MMSI, name","Could you provide the MMSI numbers, names of tankers exceeding 300 meters in length?",Show MMSI and name of VLCCs (tanker larger than 300m),"SELECT DISTINCT mmsi, name FROM ship_ais WHERE type = 'TANKER' AND length >= 300;"
medium,Knowledge,,Activate,"DDV in Strait – list MMSI, name","Could you provide the MMSI numbers, names of all DDV currently located in the Strait?",List MMSI and name of DDVs in the Strait.,"SELECT DISTINCT
  sa.mmsi,
  sa.NAME 
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sd.object_type = 'strait' 
  AND sa.draft >= 15 "
medium,calculation,,Activate,"PEBGA arrivals – list MMSI, name","Could you provide the MMSI numbers, names of all vessels scheduled to arrive at Singapore's Eastern Boarding Ground A (PEBGA)?​
",List mmsi and name of all the ships arriving to Singpaore Pilot Boarding Ground 'PEBGA',"SELECT
  mmsi,
NAME 
FROM
  ship_ais 
WHERE
  ptms_destination LIKE '%PEBGA%' 
GROUP BY
  mmsi,
NAME 
ORDER BY
  MAX(last_updated) DESC;"
medium,calculation,,Activate,Vessels within 1 km of pilot boarding ground – list names and positions.,"Could you provide the MMSI numbers, names of all vessels currently located within 1 kilometer of the pilot boarding ground, including their names and positions?  ",List all the names and mmsi of ship with location less than 1 km near pilot_boarding_ground,"SELECT DISTINCT
  sa.mmsi,
  sa.NAME,
  sa.latitude,
  sa.longitude
FROM
  ship_ais AS sa
  JOIN shp_data AS sd ON sd.object_type = 'pilot_boarding_ground' 
WHERE
  ST_Distance_Sphere (sa.POINT, sd.geom) <= 1000;"
medium,calculation,,Activate,"Top 5 largest vessels in Strait – MMSI, name, length.​","Could you provide the MMSI numbers, names, and length of the five largest vessels presently located in the Strait?","list Top 5 biggest ships' mmsi, name and length in the Strait","WITH ranked_ships AS (
  SELECT
    sa.mmsi,
    sa.NAME,
    sa.length,
    ROW_NUMBER() OVER (PARTITION BY sa.mmsi ORDER BY sa.length DESC) AS rn 
  FROM
    ship_ais sa
    JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
  WHERE
sd.object_type = 'strait') SELECT
mmsi,
NAME,
length 
FROM
  ranked_ships 
WHERE
  rn = 1 
ORDER BY
  length DESC 
  LIMIT 5;"
