original_question,answer,llm_answer,llm_judge
What is the current speed and location of vessel sounds like ALABAMA?,"SELECT
  sog,
  latitude,
  longitude 
FROM
  ship_ais 
WHERE
  NAME LIKE '%ALABAMA%' 
ORDER BY
  last_updated DESC 
  LIMIT 1;","
SELECT sog, latitude, longitude 
FROM ship_ais 
WHERE name LIKE '%ALABAMA%'
",1.0
List vessel name of tanker in the Strait.,"SELECT DISTINCT
  sa.NAME 
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sd.object_type = 'strait' 
  AND sa.type = 'TANKER';","
SELECT sa.name 
FROM ship_ais sa
JOIN shp_data sd ON ST_Intersects(sa.point, sd.geom)
WHERE sa.type = 'tanker' AND sd.object_type = 'strait';
",1.0
"show name and location of ship whose speed is lower than 0.5 order by name, only show 20 units.","SELECT DISTINCT NAME
  ,
  latitude,
  longitude 
FROM
  ship_ais 
WHERE
  sog < 0.5 
ORDER BY
NAME 
  LIMIT 20;","
SELECT name, latitude, longitude 
FROM ship_ais 
WHERE sog < 0.5 
ORDER BY name ASC 
LIMIT 20;
",1.0
What is the current speed and location of vessel KPSB 5.,"SELECT
  sog,
  latitude,
  longitude 
FROM
  ship_ais 
WHERE
  NAME = 'KPSB 5' 
ORDER BY
  last_updated DESC 
  LIMIT 1;","
SELECT sog, latitude, longitude FROM ship_ais WHERE name = 'KPSB 5';
",1.0
Show me names of all the container in the Strait,"SELECT DISTINCT
  sa.NAME 
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sa.type = 'CONTAINER SHIP' 
  AND sd.object_type = 'strait';","
SELECT sa.name 
FROM ship_ais sa
JOIN shp_data sd ON ST_Intersects(sa.point, sd.geom)
WHERE sa.type = 'container' AND sd.object_type = 'strait';
",0.0
"Is there any vessel with draft greater than 15 meters. show the mmsi, name and draft of these ships.","SELECT mmsi, name, draft FROM ship_ais WHERE draft > 15;","
SELECT mmsi, name, draft FROM ship_ais WHERE draft > 15;
",1.0
List MMSI and name of VLCCs and deep-drought vessel (draft greater than 15 meters) in the Strait.,"SELECT DISTINCT
  sa.mmsi,
  sa.NAME,
  sa.draft
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sa.draft > 15 
  AND sd.object_type = 'strait';","
SELECT sa.mmsi, sa.name
FROM ship_ais sa
JOIN shp_data sd ON ST_Contains(sd.geom, sa.point)
WHERE (sa.type = 'TANKER' AND sa.length >= 300) OR sa.draft > 15
AND sd.object_type = 'strait';
",0.25
List MMSI and name of VLCCs in the Strait.,"SELECT distinct 
  sa.mmsi,
  sa.NAME 
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sa.type = 'TANKER' 
  AND sa.length >= 300 
  AND sd.object_type = 'strait' ","
SELECT sa.mmsi, sa.name
FROM ship_ais sa
JOIN shp_data sd ON ST_Contains(sd.geom, sa.point)
WHERE sa.type = 'TANKER' AND sa.length >= 300 AND sd.object_type = 'strait';
",1.0
Show MMSI and name of VLCCs (tanker larger than 300m),"SELECT DISTINCT mmsi, name FROM ship_ais WHERE type = 'TANKER' AND length >= 300;","
SELECT mmsi, name 
FROM ship_ais 
WHERE type = 'TANKER' AND length >= 300;
",1.0
List MMSI and name of DDVs in the Strait.,"SELECT DISTINCT
  sa.mmsi,
  sa.NAME 
FROM
  ship_ais sa
  JOIN shp_data sd ON ST_Contains (sd.geom, sa.POINT) 
WHERE
  sd.object_type = 'strait' 
  AND sa.draft >= 15 ","
SELECT sa.mmsi, sa.name
FROM ship_ais sa
JOIN shp_data sd ON ST_Contains(sd.geom, sa.point)
WHERE sd.object_type = 'strait' AND sa.type LIKE '%DDV%'
",0.0
